Source Name	Comment[ENA_SAMPLE]	Comment[BioSD_SAMPLE]	Characteristics[single cell well quality]	Material Type	Characteristics[cell]	Characteristics[organism]	Characteristics[organism part]	Characteristics[individual]	Characteristics[developmental stage]	Characteristics[treatment]	Characteristics[phenotype]	Characteristics[inferred lineage]	Characteristics[inferred trophectoderm subpopulation]	Characteristics[inferred pseudo-time]	Protocol REF	Protocol REF	Performer	Extract Name	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRATEGY]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Protocol REF	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	Protocol REF	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	Protocol REF	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	Protocol REF	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	Factor Value[cell]
E3.2.455	ERS887933	SAMEA3580784	OK	cell	11	Homo sapiens	embryo	E3.2	embryonic day 3	No	not applicable	not applicable	not applicable	0.980855313	P-MTAB-46795	P-MTAB-46796	Sophie Petropolous	E3.2.455	SINGLE	RANDOM	TRANSCRIPTOMIC	RNA-Seq	P-MTAB-46797	Sophie Petropolous	E3.2.455	sequencing assay	ERX1120895	E3.2.455.fastq.gz	E3.2.455.fastq.gz	ERR1041413	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/003/ERR1041413/ERR1041413.fastq.gz	P-MTAB-46798	rpkm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3929/E-MTAB-3929.processed.2.zip	P-MTAB-46799	counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3929/E-MTAB-3929.processed.1.zip	P-MTAB-46800	ercc.rpkm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3929/E-MTAB-3929.processed.4.zip	P-MTAB-46801	ercc.counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3929/E-MTAB-3929.processed.3.zip	11
E3.2.466	ERS887934	SAMEA3580785	OK	cell	12	Homo sapiens	embryo	E3.2	embryonic day 3	No	not applicable	not applicable	not applicable	0	P-MTAB-46795	P-MTAB-46796	Sophie Petropolous	E3.2.466	SINGLE	RANDOM	TRANSCRIPTOMIC	RNA-Seq	P-MTAB-46797	Sophie Petropolous	E3.2.466	sequencing assay	ERX1120896	E3.2.466.fastq.gz	E3.2.466.fastq.gz	ERR1041414	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/004/ERR1041414/ERR1041414.fastq.gz	P-MTAB-46798	rpkm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3929/E-MTAB-3929.processed.2.zip	P-MTAB-46799	counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3929/E-MTAB-3929.processed.1.zip	P-MTAB-46800	ercc.rpkm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3929/E-MTAB-3929.processed.4.zip	P-MTAB-46801	ercc.counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3929/E-MTAB-3929.processed.3.zip	12
E3.2.467	ERS887935	SAMEA3580786	OK	cell	13	Homo sapiens	embryo	E3.2	embryonic day 3	No	not applicable	not applicable	not applicable	0.049908598	P-MTAB-46795	P-MTAB-46796	Sophie Petropolous	E3.2.467	SINGLE	RANDOM	TRANSCRIPTOMIC	RNA-Seq	P-MTAB-46797	Sophie Petropolous	E3.2.467	sequencing assay	ERX1120897	E3.2.467.fastq.gz	E3.2.467.fastq.gz	ERR1041415	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/005/ERR1041415/ERR1041415.fastq.gz	P-MTAB-46798	rpkm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3929/E-MTAB-3929.processed.2.zip	P-MTAB-46799	counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3929/E-MTAB-3929.processed.1.zip	P-MTAB-46800	ercc.rpkm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3929/E-MTAB-3929.processed.4.zip	P-MTAB-46801	ercc.counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3929/E-MTAB-3929.processed.3.zip	13
E3.3.456	ERS887936	SAMEA3580787	OK	cell	14	Homo sapiens	embryo	E3.3	embryonic day 3	No	not applicable	not applicable	not applicable	0.04319053	P-MTAB-46795	P-MTAB-46796	Sophie Petropolous	E3.3.456	SINGLE	RANDOM	TRANSCRIPTOMIC	RNA-Seq	P-MTAB-46797	Sophie Petropolous	E3.3.456	sequencing assay	ERX1120898	E3.3.456.fastq.gz	E3.3.456.fastq.gz	ERR1041416	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/006/ERR1041416/ERR1041416.fastq.gz	P-MTAB-46798	rpkm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3929/E-MTAB-3929.processed.2.zip	P-MTAB-46799	counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3929/E-MTAB-3929.processed.1.zip	P-MTAB-46800	ercc.rpkm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3929/E-MTAB-3929.processed.4.zip	P-MTAB-46801	ercc.counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3929/E-MTAB-3929.processed.3.zip	14
E3.3.457	ERS887937	SAMEA3580788	OK	cell	15	Homo sapiens	embryo	E3.3	embryonic day 3	No	not applicable	not applicable	not applicable	1.480915766	P-MTAB-46795	P-MTAB-46796	Sophie Petropolous	E3.3.457	SINGLE	RANDOM	TRANSCRIPTOMIC	RNA-Seq	P-MTAB-46797	Sophie Petropolous	E3.3.457	sequencing assay	ERX1120899	E3.3.457.fastq.gz	E3.3.457.fastq.gz	ERR1041417	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/007/ERR1041417/ERR1041417.fastq.gz	P-MTAB-46798	rpkm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3929/E-MTAB-3929.processed.2.zip	P-MTAB-46799	counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3929/E-MTAB-3929.processed.1.zip	P-MTAB-46800	ercc.rpkm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3929/E-MTAB-3929.processed.4.zip	P-MTAB-46801	ercc.counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3929/E-MTAB-3929.processed.3.zip	15
E3.3.458	ERS887938	SAMEA3580789	OK	cell	16	Homo sapiens	embryo	E3.3	embryonic day 3	No	not applicable	not applicable	not applicable	1.475759728	P-MTAB-46795	P-MTAB-46796	Sophie Petropolous	E3.3.458	SINGLE	RANDOM	TRANSCRIPTOMIC	RNA-Seq	P-MTAB-46797	Sophie Petropolous	E3.3.458	sequencing assay	ERX1120900	E3.3.458.fastq.gz	E3.3.458.fastq.gz	ERR1041418	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/008/ERR1041418/ERR1041418.fastq.gz	P-MTAB-46798	rpkm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3929/E-MTAB-3929.processed.2.zip	P-MTAB-46799	counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3929/E-MTAB-3929.processed.1.zip	P-MTAB-46800	ercc.rpkm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3929/E-MTAB-3929.processed.4.zip	P-MTAB-46801	ercc.counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3929/E-MTAB-3929.processed.3.zip	16
E3.3.459	ERS887939	SAMEA3580790	OK	cell	17	Homo sapiens	embryo	E3.3	embryonic day 3	No	not applicable	not applicable	not applicable	1.497628664	P-MTAB-46795	P-MTAB-46796	Sophie Petropolous	E3.3.459	SINGLE	RANDOM	TRANSCRIPTOMIC	RNA-Seq	P-MTAB-46797	Sophie Petropolous	E3.3.459	sequencing assay	ERX1120901	E3.3.459.fastq.gz	E3.3.459.fastq.gz	ERR1041419	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/009/ERR1041419/ERR1041419.fastq.gz	P-MTAB-46798	rpkm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3929/E-MTAB-3929.processed.2.zip	P-MTAB-46799	counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3929/E-MTAB-3929.processed.1.zip	P-MTAB-46800	ercc.rpkm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3929/E-MTAB-3929.processed.4.zip	P-MTAB-46801	ercc.counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3929/E-MTAB-3929.processed.3.zip	17
E3.3.460	ERS887940	SAMEA3580791	OK	cell	18	Homo sapiens	embryo	E3.3	embryonic day 3	No	not applicable	not applicable	not applicable	1.49268562	P-MTAB-46795	P-MTAB-46796	Sophie Petropolous	E3.3.460	SINGLE	RANDOM	TRANSCRIPTOMIC	RNA-Seq	P-MTAB-46797	Sophie Petropolous	E3.3.460	sequencing assay	ERX1120902	E3.3.460.fastq.gz	E3.3.460.fastq.gz	ERR1041420	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/000/ERR1041420/ERR1041420.fastq.gz	P-MTAB-46798	rpkm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3929/E-MTAB-3929.processed.2.zip	P-MTAB-46799	counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3929/E-MTAB-3929.processed.1.zip	P-MTAB-46800	ercc.rpkm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3929/E-MTAB-3929.processed.4.zip	P-MTAB-46801	ercc.counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3929/E-MTAB-3929.processed.3.zip	18
E3.4.462	ERS887941	SAMEA3580792	OK	cell	19	Homo sapiens	embryo	E3.4	embryonic day 3	No	not applicable	not applicable	not applicable	0.796590151	P-MTAB-46795	P-MTAB-46796	Sophie Petropolous	E3.4.462	SINGLE	RANDOM	TRANSCRIPTOMIC	RNA-Seq	P-MTAB-46797	Sophie Petropolous	E3.4.462	sequencing assay	ERX1120903	E3.4.462.fastq.gz	E3.4.462.fastq.gz	ERR1041421	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/001/ERR1041421/ERR1041421.fastq.gz	P-MTAB-46798	rpkm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3929/E-MTAB-3929.processed.2.zip	P-MTAB-46799	counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3929/E-MTAB-3929.processed.1.zip	P-MTAB-46800	ercc.rpkm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3929/E-MTAB-3929.processed.4.zip	P-MTAB-46801	ercc.counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3929/E-MTAB-3929.processed.3.zip	19
E3.4.463	ERS887942	SAMEA3580793	OK	cell	20	Homo sapiens	embryo	E3.4	embryonic day 3	No	not applicable	not applicable	not applicable	0.150376609	P-MTAB-46795	P-MTAB-46796	Sophie Petropolous	E3.4.463	SINGLE	RANDOM	TRANSCRIPTOMIC	RNA-Seq	P-MTAB-46797	Sophie Petropolous	E3.4.463	sequencing assay	ERX1120904	E3.4.463.fastq.gz	E3.4.463.fastq.gz	ERR1041422	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/002/ERR1041422/ERR1041422.fastq.gz	P-MTAB-46798	rpkm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3929/E-MTAB-3929.processed.2.zip	P-MTAB-46799	counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3929/E-MTAB-3929.processed.1.zip	P-MTAB-46800	ercc.rpkm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3929/E-MTAB-3929.processed.4.zip	P-MTAB-46801	ercc.counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3929/E-MTAB-3929.processed.3.zip	20
