Run	LibraryName
SRR3952603	SRR3952603	H7_derived_ESMT
SRR3952604	SRR3952604	H7_derived_ESMT
SRR3952605	SRR3952605	H7_derived_ESMT
SRR3952606	SRR3952606	H7_derived_ESMT
SRR3952607	SRR3952607	H7_derived_ESMT
SRR3952608	SRR3952608	H7_derived_ESMT
SRR3952609	SRR3952609	H7_derived_ESMT
SRR3952610	SRR3952610	H7_derived_ESMT
SRR3952611	SRR3952611	H7_derived_ESMT
SRR3952612	SRR3952612	H7_derived_ESMT
SRR3952613	SRR3952613	H7_derived_ESMT
SRR3952614	SRR3952614	H7_derived_ESMT
SRR3952615	SRR3952615	H7_derived_ESMT
SRR3952616	SRR3952616	H7_derived_ESMT
SRR3952617	SRR3952617	H7_derived_ESMT
SRR3952618	SRR3952618	H7_derived_ESMT
SRR3952619	SRR3952619	H7_derived_ESMT
SRR3952620	SRR3952620	H7_derived_ESMT
SRR3952621	SRR3952621	H7_derived_ESMT
SRR3952622	SRR3952622	H7_derived_ESMT
SRR3952623	SRR3952623	H7_derived_ESMT
SRR3952624	SRR3952624	H7_derived_ESMT
SRR3952625	SRR3952625	H7_derived_ESMT
SRR3952626	SRR3952626	H7_derived_ESMT
SRR3952627	SRR3952627	H7_derived_ESMT
SRR3952628	SRR3952628	H7_derived_ESMT
SRR3952629	SRR3952629	H7_derived_ESMT
SRR3952630	SRR3952630	H7_derived_ESMT
SRR3952631	SRR3952631	H7_derived_ESMT
SRR3952632	SRR3952632	H7_derived_ESMT
SRR3952633	SRR3952633	H7_derived_ESMT
SRR3952634	SRR3952634	H7_derived_ESMT
SRR3952635	SRR3952635	H7_derived_ESMT
SRR3952636	SRR3952636	H7_derived_ESMT
SRR3952637	SRR3952637	H7_derived_ESMT
SRR3952638	SRR3952638	H7_derived_ESMT
SRR3952639	SRR3952639	H7_derived_ESMT
SRR3952640	SRR3952640	H7_derived_ESMT
SRR3952641	SRR3952641	H7_derived_ESMT
SRR3952642	SRR3952642	H7_derived_Sclrtm
SRR3952643	SRR3952643	H7_derived_Sclrtm
SRR3952644	SRR3952644	H7_derived_Sclrtm
SRR3952645	SRR3952645	H7_derived_Sclrtm
SRR3952646	SRR3952646	H7_derived_Sclrtm
SRR3952647	SRR3952647	H7_derived_Sclrtm
SRR3952648	SRR3952648	H7_derived_Sclrtm
SRR3952649	SRR3952649	H7_derived_Sclrtm
SRR3952650	SRR3952650	H7_derived_Sclrtm
SRR3952651	SRR3952651	H7_derived_Sclrtm
SRR3952652	SRR3952652	H7_derived_Sclrtm
SRR3952653	SRR3952653	H7_derived_Sclrtm
SRR3952654	SRR3952654	H7_derived_Sclrtm
SRR3952655	SRR3952655	H7_derived_Sclrtm
SRR3952656	SRR3952656	H7_derived_Sclrtm
SRR3952657	SRR3952657	H7_derived_Sclrtm
SRR3952658	SRR3952658	H7_derived_Sclrtm
SRR3952659	SRR3952659	H7_derived_Sclrtm
SRR3952660	SRR3952660	H7_derived_Sclrtm
SRR3952661	SRR3952661	H7_derived_Sclrtm
SRR3952662	SRR3952662	H7_derived_Sclrtm
SRR3952663	SRR3952663	H7_derived_Sclrtm
SRR3952664	SRR3952664	H7_derived_Sclrtm
SRR3952665	SRR3952665	H7_derived_Sclrtm
SRR3952666	SRR3952666	H7_derived_Sclrtm
SRR3952667	SRR3952667	H7_derived_Sclrtm
SRR3952668	SRR3952668	H7_derived_Sclrtm
SRR3952669	SRR3952669	H7_derived_Sclrtm
SRR3952670	SRR3952670	H7_derived_Sclrtm
SRR3952671	SRR3952671	H7_derived_Sclrtm
SRR3952672	SRR3952672	H7_derived_Sclrtm
SRR3952673	SRR3952673	H7_derived_Sclrtm
SRR3952674	SRR3952674	H7_derived_Sclrtm
SRR3952675	SRR3952675	H7_derived_Sclrtm
SRR3952676	SRR3952676	H7_derived_Sclrtm
SRR3952677	SRR3952677	H7_derived_Sclrtm
SRR3952678	SRR3952678	H7_derived_Sclrtm
SRR3952679	SRR3952679	H7_derived_Sclrtm
SRR3952680	SRR3952680	H7_derived_Sclrtm
SRR3952681	SRR3952681	H7_derived_Sclrtm
SRR3952682	SRR3952682	H7_derived_Sclrtm
SRR3952683	SRR3952683	H7_derived_Sclrtm
SRR3952684	SRR3952684	H7_derived_Sclrtm
SRR3952685	SRR3952685	H7_derived_Sclrtm
SRR3952686	SRR3952686	H7_derived_Sclrtm
SRR3952687	SRR3952687	H7_derived_Sclrtm
SRR3952688	SRR3952688	H7_derived_Sclrtm
SRR3952689	SRR3952689	H7_derived_Sclrtm
SRR3952690	SRR3952690	H7_derived_Sclrtm
SRR3952691	SRR3952691	H7_derived_Sclrtm
SRR3952692	SRR3952692	H7_derived_Sclrtm
SRR3952693	SRR3952693	H7_derived_Sclrtm
SRR3952694	SRR3952694	H7_derived_Sclrtm
SRR3952695	SRR3952695	H7_derived_Sclrtm
SRR3952696	SRR3952696	H7_derived_Sclrtm
SRR3952697	SRR3952697	H7_derived_Sclrtm
SRR3952698	SRR3952698	H7_derived_Sclrtm
SRR3952699	SRR3952699	H7_derived_Sclrtm
SRR3952700	SRR3952700	H7_derived_Sclrtm
SRR3952701	SRR3952701	H7_derived_Sclrtm
SRR3952702	SRR3952702	H7_derived_Sclrtm
SRR3952703	SRR3952703	H7_derived_Sclrtm
SRR3952704	SRR3952704	H7_derived_Sclrtm
SRR3952705	SRR3952705	H7_derived_Sclrtm
SRR3952706	SRR3952706	H7_derived_Sclrtm
SRR3952707	SRR3952707	H7_derived_Sclrtm
SRR3952708	SRR3952708	H7_derived_Sclrtm
SRR3952709	SRR3952709	H7_derived_Sclrtm
SRR3952710	SRR3952710	H7_derived_Sclrtm
SRR3952711	SRR3952711	H7_derived_D5CntrlDrmmtm
SRR3952712	SRR3952712	H7_derived_D5CntrlDrmmtm
SRR3952713	SRR3952713	H7_derived_D5CntrlDrmmtm
SRR3952714	SRR3952714	H7_derived_D5CntrlDrmmtm
SRR3952715	SRR3952715	H7_derived_D5CntrlDrmmtm
SRR3952716	SRR3952716	H7_derived_D5CntrlDrmmtm
SRR3952717	SRR3952717	H7_derived_D5CntrlDrmmtm
SRR3952718	SRR3952718	H7_derived_D5CntrlDrmmtm
SRR3952719	SRR3952719	H7_derived_D5CntrlDrmmtm
SRR3952720	SRR3952720	H7_derived_D5CntrlDrmmtm
SRR3952721	SRR3952721	H7_derived_D5CntrlDrmmtm
SRR3952722	SRR3952722	H7_derived_D5CntrlDrmmtm
SRR3952723	SRR3952723	H7_derived_D5CntrlDrmmtm
SRR3952724	SRR3952724	H7_derived_D5CntrlDrmmtm
SRR3952725	SRR3952725	H7_derived_D5CntrlDrmmtm
SRR3952726	SRR3952726	H7_derived_D5CntrlDrmmtm
SRR3952727	SRR3952727	H7_derived_D5CntrlDrmmtm
SRR3952728	SRR3952728	H7_derived_D5CntrlDrmmtm
SRR3952729	SRR3952729	H7_derived_D5CntrlDrmmtm
SRR3952730	SRR3952730	H7_derived_D5CntrlDrmmtm
SRR3952731	SRR3952731	H7_derived_D5CntrlDrmmtm
SRR3952732	SRR3952732	H7_derived_D5CntrlDrmmtm
SRR3952733	SRR3952733	H7_derived_D5CntrlDrmmtm
SRR3952734	SRR3952734	H7_derived_D5CntrlDrmmtm
SRR3952735	SRR3952735	H7_derived_D5CntrlDrmmtm
SRR3952736	SRR3952736	H7_derived_D5CntrlDrmmtm
SRR3952737	SRR3952737	H7_derived_D5CntrlDrmmtm
SRR3952738	SRR3952738	H7_derived_D5CntrlDrmmtm
SRR3952739	SRR3952739	H7_derived_D5CntrlDrmmtm
SRR3952740	SRR3952740	H7_derived_D5CntrlDrmmtm
SRR3952741	SRR3952741	H7_derived_D5CntrlDrmmtm
SRR3952742	SRR3952742	H7_derived_D5CntrlDrmmtm
SRR3952743	SRR3952743	H7_derived_D5CntrlDrmmtm
SRR3952744	SRR3952744	H7_derived_D5CntrlDrmmtm
SRR3952745	SRR3952745	H7_derived_D5CntrlDrmmtm
SRR3952746	SRR3952746	H7_derived_D5CntrlDrmmtm
SRR3952747	SRR3952747	H7_derived_D5CntrlDrmmtm
SRR3952748	SRR3952748	H7_derived_D5CntrlDrmmtm
SRR3952749	SRR3952749	H7_derived_D5CntrlDrmmtm
SRR3952750	SRR3952750	H7_derived_D5CntrlDrmmtm
SRR3952751	SRR3952751	H7_derived_D5CntrlDrmmtm
SRR3952752	SRR3952752	H7_derived_D5CntrlDrmmtm
SRR3952753	SRR3952753	H7_derived_D5CntrlDrmmtm
SRR3952754	SRR3952754	H7_derived_D5CntrlDrmmtm
SRR3952755	SRR3952755	H7_derived_D5CntrlDrmmtm
SRR3952756	SRR3952756	H7_derived_D5CntrlDrmmtm
SRR3952757	SRR3952757	H7_derived_D5CntrlDrmmtm
SRR3952758	SRR3952758	H7_derived_D5CntrlDrmmtm
SRR3952759	SRR3952759	H7_derived_D5CntrlDrmmtm
SRR3952760	SRR3952760	H7_derived_D5CntrlDrmmtm
SRR3952761	SRR3952761	H7_derived_D5CntrlDrmmtm
SRR3952762	SRR3952762	H7_derived_D5CntrlDrmmtm
SRR3952763	SRR3952763	H7_derived_D5CntrlDrmmtm
SRR3952764	SRR3952764	H7_derived_D5CntrlDrmmtm
SRR3952765	SRR3952765	H7_derived_D5CntrlDrmmtm
SRR3952766	SRR3952766	H7_derived_D5CntrlDrmmtm
SRR3952767	SRR3952767	H7_derived_D5CntrlDrmmtm
SRR3952768	SRR3952768	H7_derived_D5CntrlDrmmtm
SRR3952769	SRR3952769	H7_derived_D5CntrlDrmmtm
SRR3952770	SRR3952770	H7_derived_D5CntrlDrmmtm
SRR3952771	SRR3952771	H7_derived_D5CntrlDrmmtm
SRR3952772	SRR3952772	H7_derived_D5CntrlDrmmtm
SRR3952773	SRR3952773	H7_derived_D5CntrlDrmmtm
SRR3952774	SRR3952774	H7_derived_D5CntrlDrmmtm
SRR3952775	SRR3952775	H7_derived_D5CntrlDrmmtm
SRR3952776	SRR3952776	H7_derived_D5CntrlDrmmtm
SRR3952777	SRR3952777	H7_derived_D5CntrlDrmmtm
SRR3952778	SRR3952778	H7_derived_D2LtM
SRR3952779	SRR3952779	H7_derived_D2LtM
SRR3952780	SRR3952780	H7_derived_D2LtM
SRR3952781	SRR3952781	H7_derived_D2LtM
SRR3952782	SRR3952782	H7_derived_D2LtM
SRR3952783	SRR3952783	H7_derived_D2LtM
SRR3952784	SRR3952784	H7_derived_D2LtM
SRR3952785	SRR3952785	H7_derived_D2LtM
SRR3952786	SRR3952786	H7_derived_D2LtM
SRR3952787	SRR3952787	H7_derived_D2LtM
SRR3952788	SRR3952788	H7_derived_D2LtM
SRR3952789	SRR3952789	H7_derived_D2LtM
SRR3952790	SRR3952790	H7_derived_D2LtM
SRR3952791	SRR3952791	H7_derived_D2LtM
SRR3952792	SRR3952792	H7_derived_D2LtM
SRR3952793	SRR3952793	H7_derived_D2LtM
SRR3952794	SRR3952794	H7_derived_D2LtM
SRR3952795	SRR3952795	H7_derived_D2LtM
SRR3952796	SRR3952796	H7_derived_D2LtM
SRR3952797	SRR3952797	H7_derived_D2LtM
SRR3952798	SRR3952798	H7_derived_D2LtM
SRR3952799	SRR3952799	H7_derived_D2LtM
SRR3952800	SRR3952800	H7_derived_D2LtM
SRR3952801	SRR3952801	H7_derived_D2LtM
SRR3952802	SRR3952802	H7_derived_D2LtM
SRR3952803	SRR3952803	H7_derived_D2LtM
SRR3952804	SRR3952804	H7_derived_D2LtM
SRR3952805	SRR3952805	H7_derived_D2LtM
SRR3952806	SRR3952806	H7_derived_D2LtM
SRR3952807	SRR3952807	H7_derived_D2LtM
SRR3952808	SRR3952808	H7_derived_D2LtM
SRR3952809	SRR3952809	H7_derived_D2LtM
SRR3952810	SRR3952810	H7_derived_D2LtM
SRR3952811	SRR3952811	H7_derived_D2LtM
SRR3952812	SRR3952812	H7_derived_D2LtM
SRR3952813	SRR3952813	H7_derived_D2LtM
SRR3952814	SRR3952814	H7_derived_D2LtM
SRR3952815	SRR3952815	H7_derived_D2LtM
SRR3952816	SRR3952816	H7_derived_D2LtM
SRR3952817	SRR3952817	H7_derived_D2LtM
SRR3952818	SRR3952818	H7_derived_D2LtM
SRR3952819	SRR3952819	H7_derived_D2LtM
SRR3952820	SRR3952820	H7_derived_D2LtM
SRR3952821	SRR3952821	H7_derived_D2LtM
SRR3952822	SRR3952822	H7_derived_D2LtM
SRR3952823	SRR3952823	H7_derived_D2LtM
SRR3952824	SRR3952824	H7_derived_D2LtM
SRR3952825	SRR3952825	H7_derived_D2LtM
SRR3952826	SRR3952826	H7_derived_D2LtM
SRR3952827	SRR3952827	H7_derived_D2LtM
SRR3952828	SRR3952828	H7_derived_D2LtM
SRR3952829	SRR3952829	H7_derived_D2LtM
SRR3952830	SRR3952830	H7_derived_D2LtM
SRR3952831	SRR3952831	H7_derived_D2LtM
SRR3952832	SRR3952832	H7_derived_D2LtM
SRR3952833	SRR3952833	H7_derived_D3GARPpCrdcM
SRR3952834	SRR3952834	H7_derived_D3GARPpCrdcM
SRR3952835	SRR3952835	H7_derived_D3GARPpCrdcM
SRR3952836	SRR3952836	H7_derived_D3GARPpCrdcM
SRR3952837	SRR3952837	H7_derived_D3GARPpCrdcM
SRR3952838	SRR3952838	H7_derived_D3GARPpCrdcM
SRR3952839	SRR3952839	H7_derived_D3GARPpCrdcM
SRR3952840	SRR3952840	H7_derived_D3GARPpCrdcM
SRR3952841	SRR3952841	H7_derived_D3GARPpCrdcM
SRR3952842	SRR3952842	H7_derived_D3GARPpCrdcM
SRR3952843	SRR3952843	H7_derived_D3GARPpCrdcM
SRR3952844	SRR3952844	H7_derived_D3GARPpCrdcM
SRR3952845	SRR3952845	H7_derived_D3GARPpCrdcM
SRR3952846	SRR3952846	H7_derived_D3GARPpCrdcM
SRR3952847	SRR3952847	H7_derived_D3GARPpCrdcM
SRR3952848	SRR3952848	H7_derived_D3GARPpCrdcM
SRR3952849	SRR3952849	H7_derived_D3GARPpCrdcM
SRR3952850	SRR3952850	H7_derived_D3GARPpCrdcM
SRR3952851	SRR3952851	H7_derived_D3GARPpCrdcM
SRR3952852	SRR3952852	H7_derived_D3GARPpCrdcM
SRR3952853	SRR3952853	H7_derived_D3GARPpCrdcM
SRR3952854	SRR3952854	H7_derived_D3GARPpCrdcM
