BioSample_s	Center_Name_s	Experiment_s	Library_Name_s	LoadDate_s	MBases_l	MBytes_l	ReleaseDate_s	Run_s	SRA_Sample_s	Sample_Name_s	population_s	Assay_Type_s	AssemblyName_s	BioProject_s	Consent_s	InsertSize_l	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	Organism_s	Platform_s	SRA_Study_s	Strain_s	g1k_analysis_group_s	g1k_pop_code_s	source_s
SAMEA1573432	Leiden University Medical Center	ERX162835	NA19093.7.M_120219_7 extract	2012-11-07	4758	3219	2012-11-07	ERR188476	ERS185038	GEUV:NA19093	YRI	RNA-Seq	<not provided>	PRJEB3366	public	280	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001942	lymphoblastoid cell line	<not provided>	<not provided>	<not provided>
SAMEA1573441	University of Geneva	ERX162750	NA12778.1.M_111124_4 extract	2012-11-07	4236	3045	2012-11-07	ERR188477	ERS185039	GEUV:NA12778	CEU	RNA-Seq	<not provided>	PRJEB3366	public	280	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001942	lymphoblastoid cell line	<not provided>	<not provided>	<not provided>
SAMEA1573306	Max Planck Institute for Molecular Genetics	ERX163082	NA20770.3.M_120202_1 extract	2012-11-07	2378	1660	2012-11-07	ERR188191	ERS185050	GEUV:NA20770	TSI	RNA-Seq	<not provided>	PRJEB3366	public	280	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001942	lymphoblastoid cell line	<not provided>	<not provided>	<not provided>
SAMEA1573375	Centre for Genomic Regulation, Barcelona	ERX162761	NA20786.2.M_111215_8 extract	2012-11-07	4758	3316	2012-11-07	ERR188192	ERS185069	GEUV:NA20786	TSI	RNA-Seq	<not provided>	PRJEB3366	public	280	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001942	lymphoblastoid cell line	<not provided>	<not provided>	<not provided>
SAMEA1573505	Centre for Genomic Regulation, Barcelona	ERX162756	HG00373.2.M_111215_6 extract	2012-11-07	5670	3927	2012-11-07	ERR188198	ERS185076	GEUV:HG00373	FIN	RNA-Seq	<not provided>	PRJEB3366	public	280	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001942	lymphoblastoid cell line	<not provided>	<not provided>	<not provided>
SAMEA1573328	University of Geneva	ERX162943	NA12341.1.M_111124_5 extract	2012-11-07	4498	3149	2012-11-07	ERR188388	ERS185052	GEUV:NA12341	CEU	RNA-Seq	<not provided>	PRJEB3366	public	280	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001942	lymphoblastoid cell line	<not provided>	<not provided>	<not provided>
SAMEA1573327	Centre for Genomic Regulation, Barcelona	ERX163085	NA11920.2.M_120131_1 extract	2012-11-07	4565	3102	2012-11-07	ERR188371	ERS185051	GEUV:NA11920	CEU	RNA-Seq	<not provided>	PRJEB3366	public	280	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001942	lymphoblastoid cell line	<not provided>	<not provided>	<not provided>
SAMEA1573332	Centre for Genomic Regulation, Barcelona	ERX162723	NA11832.2.M_120131_2 extract	2012-11-07	5079	3486	2012-11-07	ERR188217	ERS185066	GEUV:NA11832	CEU	RNA-Seq	<not provided>	PRJEB3366	public	280	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001942	lymphoblastoid cell line	<not provided>	<not provided>	<not provided>
SAMEA1573347	Centre for Genomic Regulation, Barcelona	ERX162995	NA11993.2.M_111216_4 extract	2012-11-07	4456	3129	2012-11-07	ERR188233	ERS185053	GEUV:NA11993	CEU	RNA-Seq	<not provided>	PRJEB3366	public	280	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001942	lymphoblastoid cell line	<not provided>	<not provided>	<not provided>
SAMEA1573179	Uppsala University	ERX162797	NA18907.6.M_120217_1 extract	2012-11-07	3562	2481	2012-11-07	ERR188283	ERS185049	GEUV:NA18907	YRI	RNA-Seq	<not provided>	PRJEB3366	public	280	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001942	lymphoblastoid cell line	<not provided>	<not provided>	<not provided>
SAMEA1573251	University of Geneva	ERX162910	HG00330.1.M_120209_2 extract	2012-11-07	4238	2904	2012-11-07	ERR188296	ERS185042	GEUV:HG00330	FIN	RNA-Seq	<not provided>	PRJEB3366	public	280	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001942	lymphoblastoid cell line	<not provided>	<not provided>	<not provided>
SAMEA1573086	Centre for Genomic Regulation, Barcelona	ERX162736	NA11994.2.M_111216_7 extract	2012-11-07	6160	4437	2012-11-07	ERR188301	ERS185092	GEUV:NA11994	CEU	RNA-Seq	<not provided>	PRJEB3366	public	280	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001942	lymphoblastoid cell line	<not provided>	<not provided>	<not provided>
SAMEA1573185	University of Geneva	ERX162715	HG00101.1.M_111124_4 extract	2012-11-07	3327	2421	2012-11-07	ERR188307	ERS185085	GEUV:HG00101	GBR	RNA-Seq	<not provided>	PRJEB3366	public	280	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001942	lymphoblastoid cell line	<not provided>	<not provided>	<not provided>
SAMEA1573435	Institute of Clinical Molecular Biology, University of Kiel, Germany	ERX162770	HG00150.4.M_120208_7 extract	2012-11-07	4215	2871	2012-11-07	ERR188309	ERS185070	GEUV:HG00150	GBR	RNA-Seq	<not provided>	PRJEB3366	public	280	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001942	lymphoblastoid cell line	<not provided>	<not provided>	<not provided>
SAMEA1573193	University of Geneva	ERX163009	NA20505.1.M_111124_6 extract	2012-11-07	5427	3825	2012-11-07	ERR188329	ERS185048	GEUV:NA20505	TSI	RNA-Seq	<not provided>	PRJEB3366	public	280	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001942	lymphoblastoid cell line	<not provided>	<not provided>	<not provided>
SAMEA1573262	Max Planck Institute for Molecular Genetics	ERX162953	NA20517.3.M_120202_8 extract	2012-11-07	3057	2179	2012-11-07	ERR188357	ERS185041	GEUV:NA20517	TSI	RNA-Seq	<not provided>	PRJEB3366	public	280	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001942	lymphoblastoid cell line	<not provided>	<not provided>	<not provided>
SAMEA1573179	University of Geneva	ERX179644	NA18907.1.M_120209_1 extract	2012-12-05	2509	1729	2012-12-05	ERR204919	ERS185049	GEUV:NA18907	YRI	RNA-Seq	<not provided>	PRJEB3366	public	280	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001942	lymphoblastoid cell line	<not provided>	<not provided>	<not provided>
SAMEA1573242	University of Geneva	ERX179616	NA12154.1.M_120209_3 extract	2012-12-05	2258	1488	2012-12-05	ERR204945	ERS185043	GEUV:NA12154	CEU	RNA-Seq	<not provided>	PRJEB3366	public	280	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001942	lymphoblastoid cell line	<not provided>	<not provided>	<not provided>
SAMEA1573270	University of Geneva	ERX179576	NA12348.1.M_120209_3 extract	2012-12-05	1600	1059	2012-12-05	ERR204964	ERS185040	GEUV:NA12348	CEU	RNA-Seq	<not provided>	PRJEB3366	public	280	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001942	lymphoblastoid cell line	<not provided>	<not provided>	<not provided>
SAMEA1573470	Uppsala University	ERX179521	NA19095.6.M_120119_4 extract	2013-02-22	3821	2710	2013-02-22	ERR205009	ERS185037	GEUV:NA19095	YRI	RNA-Seq	<not provided>	PRJEB3366	public	280	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001942	lymphoblastoid cell line	<not provided>	<not provided>	<not provided>
SAMEA1573432	University of Geneva	ERX179643	NA19093.1.M_120209_7 extract	2013-02-22	2317	1597	2013-02-22	ERR204825	ERS185038	GEUV:NA19093	YRI	RNA-Seq	<not provided>	PRJEB3366	public	280	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001942	lymphoblastoid cell line	<not provided>	<not provided>	<not provided>
SAMEA1573367	University of Geneva	ERX179691	NA19197.1.M_120209_3 extract	2013-02-21	2474	1653	2013-02-21	ERR204866	ERS185054	GEUV:NA19197	YRI	RNA-Seq	<not provided>	PRJEB3366	public	280	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001942	lymphoblastoid cell line	<not provided>	<not provided>	<not provided>
SAMEA1573187	University of Geneva	ERX179640	HG00378.1.M_120209_5 extract	2012-12-05	3260	2187	2012-12-05	ERR204905	ERS185047	GEUV:HG00378	FIN	RNA-Seq	<not provided>	PRJEB3366	public	280	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001942	lymphoblastoid cell line	<not provided>	<not provided>	<not provided>
SAMEA1573510	Uppsala University	ERX163010	NA20769.6.M_120119_5 extract	2012-11-06	3064	2155	2012-11-06	ERR188381	ERS185077	GEUV:NA20769	TSI	RNA-Seq	<not provided>	PRJEB3366	public	280	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001942	lymphoblastoid cell line	<not provided>	<not provided>	<not provided>
SAMEA1573421	Institute of Clinical Molecular Biology, University of Kiel, Germany	ERX162915	NA19210.4.M_120208_1 extract	2012-11-06	3088	2172	2012-11-06	ERR188392	ERS185068	GEUV:NA19210	YRI	RNA-Seq	<not provided>	PRJEB3366	public	280	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001942	lymphoblastoid cell line	<not provided>	<not provided>	<not provided>
SAMEA1573253	Max Planck Institute for Molecular Genetics	ERX163048	NA20806.3.M_120202_5 extract	2012-11-06	2572	1795	2012-11-06	ERR188094	ERS185112	GEUV:NA20806	TSI	RNA-Seq	<not provided>	PRJEB3366	public	280	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001942	lymphoblastoid cell line	<not provided>	<not provided>	<not provided>
SAMEA1573228	Leiden University Medical Center	ERX163036	NA18511.7.M_120219_2 extract	2012-11-06	7695	5414	2012-11-06	ERR188097	ERS185100	GEUV:NA18511	YRI	RNA-Seq	<not provided>	PRJEB3366	public	280	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001942	lymphoblastoid cell line	<not provided>	<not provided>	<not provided>
SAMEA1573267	Max Planck Institute for Molecular Genetics	ERX163002	HG00247.3.M_120202_1 extract	2012-11-06	3714	2580	2012-11-06	ERR188106	ERS185114	GEUV:HG00247	GBR	RNA-Seq	<not provided>	PRJEB3366	public	280	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001942	lymphoblastoid cell line	<not provided>	<not provided>	<not provided>
SAMEA1573243	Centre for Genomic Regulation, Barcelona	ERX162868	NA18923.2.M_111216_5 extract	2012-11-07	4553	3345	2012-11-07	ERR188409	ERS185101	GEUV:NA18923	YRI	RNA-Seq	<not provided>	PRJEB3366	public	280	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001942	lymphoblastoid cell line	<not provided>	<not provided>	<not provided>
SAMEA1573486	Helmholtz Zentrum München, German Research Center for Environmental Health, Germany	ERX162961	NA12058.5.M_120131_7 extract	2012-11-07	4523	3141	2012-11-07	ERR188415	ERS185060	GEUV:NA12058	CEU	RNA-Seq	<not provided>	PRJEB3366	public	280	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001942	lymphoblastoid cell line	<not provided>	<not provided>	<not provided>
SAMEA1573468	Uppsala University	ERX163001	NA19172.6.M_120119_1 extract	2012-11-07	3680	2579	2012-11-07	ERR188422	ERS185073	GEUV:NA19172	YRI	RNA-Seq	<not provided>	PRJEB3366	public	280	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001942	lymphoblastoid cell line	<not provided>	<not provided>	<not provided>
SAMEA1573490	Max Planck Institute for Molecular Genetics	ERX163012	NA12287.3.M_120202_3 extract	2012-11-07	2436	1682	2012-11-07	ERR188142	ERS185075	GEUV:NA12287	CEU	RNA-Seq	<not provided>	PRJEB3366	public	280	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001942	lymphoblastoid cell line	<not provided>	<not provided>	<not provided>
SAMEA1573310	University of Geneva	ERX162975	HG00180.1.M_111124_8 extract	2012-11-07	4715	3417	2012-11-07	ERR188146	ERS185065	GEUV:HG00180	FIN	RNA-Seq	<not provided>	PRJEB3366	public	280	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001942	lymphoblastoid cell line	<not provided>	<not provided>	<not provided>
SAMEA1573146	Uppsala University	ERX162820	NA11829.6.M_120217_1 extract	2012-11-07	2796	1922	2012-11-07	ERR188433	ERS185107	GEUV:NA11829	CEU	RNA-Seq	<not provided>	PRJEB3366	public	280	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001942	lymphoblastoid cell line	<not provided>	<not provided>	<not provided>
SAMEA1573257	Max Planck Institute for Molecular Genetics	ERX162821	NA11830.3.M_120202_4 extract	2012-11-07	3484	2396	2012-11-07	ERR188435	ERS185097	GEUV:NA11830	CEU	RNA-Seq	<not provided>	PRJEB3366	public	280	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	ERP001942	lymphoblastoid cell line	<not provided>	<not provided>	<not provided>
